parking_spot_id,type,parking_spot_name,address_zip,borough,detail,longitude,latitude,operation_hours
0932155-DCA,Business,301 PARK CORP.,10065,Manhattan,"Vehicle Spaces: 84, Bicycle Spaces: 8",-73.96170261902068,40.763591451944784,unknown
1439430-DCA,Business,CHAMPION PARKING 90 LLC,10128,Manhattan,"Vehicle Spaces: 268, Bicycle Spaces: 20",-73.95633632244923,40.78314855020369,unknown
1283824-DCA,Business,CHAMPION PARKING 74 LLC.,10023,Manhattan,"Vehicle Spaces: 110, Bicycle Spaces: 11",-73.98194613812201,40.77976840490512,unknown
1030045-DCA,Business,"BATTERY PLACE CAR PARK, LLC",10280,Manhattan,"Vehicle Spaces: 42, Bicycle Spaces:",-74.01790411531843,40.70628322913576,unknown
2017912-DCA,Business,SP PLUS CORPORATION,10022,Manhattan,"Vehicle Spaces: 157, Bicycle Spaces: 15",-73.97539336674451,40.75811393684285,unknown
1010570-DCA,Business,UNION SQUARE CAR PARK LLC,10003,Manhattan,"Vehicle Spaces: 198, Bicycle Spaces: 19",-73.98871324972123,40.73407200881727,unknown
2101166-DCA,Business,CHAMPION PARKING YORK LLC,10028,Manhattan,"Vehicle Spaces: 108, Bicycle Spaces: 11",-73.9498231760505,40.77221361132007,unknown
1413026-DCA,Business,420 EAST 51ST PARKING PARTNERS LLC,10022,Manhattan,"Vehicle Spaces: 105, Bicycle Spaces: 11",-73.96494204046672,40.75417801007669,unknown
2109270-DCA,Business,PP MGMT CEJ CORP,11101,Queens,"Vehicle Spaces: 42, Bicycle Spaces: 0",-73.93537947477927,40.75220546996098,unknown
1376342-DCA,Business,QUIK PARK EAST 73RD ST LLC,10021,Manhattan,"Vehicle Spaces: 320, Bicycle Spaces: 21",-73.95181993445908,40.76690888069089,unknown
1061198-DCA,Business,101 WEST END PARKING LLC,10023,Manhattan,"Vehicle Spaces: 166, Bicycle Spaces: 16",-73.98863409148143,40.77506478010212,unknown
2107689-DCA,Business,NEW 786 NY PARKING CORP,11354,Queens,"Vehicle Spaces: 105, Bicycle Spaces: 11",-73.82658658406363,40.76264662506418,unknown
