DCA License Number,License Type,License Expiration Date,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code
0932155-DCA,Business,03/31/2025,301 PARK CORP.,,301,E 64TH ST,,NEW YORK,NY,10065,2124730135,Manhattan,1
1439430-DCA,Business,03/31/2025,CHAMPION PARKING 90 LLC,,60,E 90TH ST,,NEW YORK,NY,10128,2123085959,Manhattan,1
2028476-DCA,Business,05/28/2020,QUIK PARK 801 GARAGE LLC,,801,AMSTERDAM AVE,,NEW YORK,NY,10025,212-222-3289,Manhattan,1
0965331-DCA,Business,07/06/2018,SP PLUS CORPORATION,,20990,23RD AVE,,BAYSIDE,NY,11360,2126954568,Queens,4
2029261-DCA,Business,03/31/2023,QB 71ST AVENUE PARKING LLC,ALL COUNTS PARKING,10820,71ST AVE,,FOREST HILLS,NY,11375,7187865555,Queens,4
2095757-DCA,Business,03/31/2021,3718 HENRY HUDSON PARKING LLC,NAGLE PARKING,3718,HENRY HUDSON PKWY,,BRONX,NY,10463,3473204333,Bronx,2
1446388-DCA,Business,03/31/2017,"BOGOPA LIC, INC.",FOOD BAZAAR,4202,NORTHERN BLVD,,LONG IS CITY,NY,11101,718-346-6500,Queens,4
1283824-DCA,Business,03/31/2025,CHAMPION PARKING 74 LLC.,,2109,BROADWAY,,NEW YORK,NY,10023,2123085959,Manhattan,1
1030045-DCA,Business,03/31/2025,"BATTERY PLACE CAR PARK, LLC",GGMC,50,BATTERY PL,,NEW YORK,NY,10280,2129966363,Manhattan,1
2083257-DCA,Business,03/31/2021,"ONE PARKING 703, INC.",,21010,23RD AVE,,BAYSIDE,NY,11360,5618337222,Queens,4
1306493-DCA,Business,03/31/2021,69 ENTERPRISE PARKING LLC,,219,E 69TH ST,,NEW YORK,NY,10021,2126270012,Manhattan,1
2083256-DCA,Business,03/31/2021,"ONE PARKING 703, INC.",,209-90,23RD AVE,,Bayside,NY,11360,5618337222,Queens,4
2096588-DCA,Business,01/10/2022,PARKING SYSTEMS PLUS INC,,4025,82ND ST,,ELMHURST,NY,11373,8009441424,Queens,4
2067122-DCA,Business,08/01/2020,"BATTERY 17 PARKING, LLC",,17,BATTERY PL,,NEW YORK,NY,10004,646-773-4400,Manhattan,1
2105250-DCA,Business,07/17/2022,EVERYTHING PARKING INC,Park Inc,2201,NOSTRAND AVE,,BROOKLYN,NY,11210,7043771755,Brooklyn,3
1217500-DCA,Business,12/22/2019,220 RIVERSIDE PARKING LLC,,220,RIVERSIDE BLVD,,NEW YORK,NY,10069,2126869800,Manhattan,1
2017912-DCA,Business,03/31/2025,SP PLUS CORPORATION,,455,MADISON AVE,,NEW YORK,NY,10022,2125025490,Manhattan,1
2101983-DCA,Business,04/27/2022,786 PARKING 1 CORP,,747,CONCOURSE VLG W,,BRONX,NY,10451,7186180276,Bronx,2
1010570-DCA,Business,03/31/2025,UNION SQUARE CAR PARK LLC,GGMC,1,IRVING PL,,NEW YORK,NY,10003,2129966363,Manhattan,1
2081072-DCA,Business,03/31/2021,880 FIFTH PARKING LLC,,880,5TH AVE,,NEW YORK,NY,10021,,Manhattan,1
1204520-DCA,Business,03/31/2021,MANHATTAN PARKING EAST 34TH STREET CORP.,,333,E 34TH ST,,NEW YORK,NY,10016,2126862508,Manhattan,1
