DCA License Number,License Expiration Date,License Creation Date,Industry,Detail,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code,Community Board,Council District,BIN,BBL,NTA,Census Tract,Longitude,Latitude,Location
0932155-DCA,03/31/2025,03/25/1997,Garage,"Vehicle Spaces: 84, Bicycle Spaces: 8",301 PARK CORP.,,301,E 64TH ST,,NEW YORK,NY,10065,2124730135,Manhattan,1,108,5,1044689,1014390001,MN31,118,-73.96170261902068,40.763591451944784,"(40.763591451944784, -73.96170261902068)"
1439430-DCA,03/31/2025,08/07/2012,Garage,"Vehicle Spaces: 268, Bicycle Spaces: 20",CHAMPION PARKING 90 LLC,,60,E 90TH ST,,NEW YORK,NY,10128,2123085959,Manhattan,1,108,04,1046972,1015017501,MN40,15002,-73.95633632244923,40.78314855020369,"(40.78314855020369, -73.95633632244923)"
2077512-DCA,03/31/2025,08/27/2018,Garage,"Vehicle Spaces: 149, Bicycle Spaces: 15",SP PLUS CORPORATION,,1130,SAINT NICHOLAS AVE,,NEW YORK,NY,10032,2125025490,Manhattan,1,112,10,1062989,1021240017,MN36,251,-73.93976119883386,40.83994859762669,"(40.83994859762669, -73.93976119883386)"
1192275-DCA,03/31/2025,04/01/2005,Garage,"Vehicle Spaces: 35, Bicycle Spaces:",80 EAST END GARAGE LLC,,80,E END AVE,,NEW YORK,NY,10028,2125175709,Manhattan,1,108,5,1051198,1015800023,MN32,136,-73.9460965359417,40.77313416052005,"(40.77313416052005, -73.9460965359417)"
1283824-DCA,03/31/2025,05/01/2008,Garage,"Vehicle Spaces: 110, Bicycle Spaces: 11",CHAMPION PARKING 74 LLC.,,2109,BROADWAY,,NEW YORK,NY,10023,2123085959,Manhattan,1,107,6,1030544,1011650503,MN14,159,-73.98194613812201,40.77976840490512,"(40.77976840490512, -73.98194613812201)"
1030045-DCA,03/31/2025,03/29/2000,Garage,"Vehicle Spaces: 42, Bicycle Spaces:","BATTERY PLACE CAR PARK, LLC",GGMC,50,BATTERY PL,,NEW YORK,NY,10280,2129966363,Manhattan,1,101,1,1085938,1000160015,MN25,31704,-74.01790411531843,40.70628322913576,"(40.70628322913576, -74.01790411531843)"
2019758-DCA,03/31/2025,03/19/2015,Garage,"Vehicle Spaces: 61, Bicycle Spaces: 6",SP PLUS CORPORATION,,267,W 47TH ST,,NEW YORK,NY,10036,2125025490,Manhattan,1,105,03,1086225,1010190001,MN17,125,-73.98653581270592,40.7600178856856,"(40.7600178856856, -73.98653581270592)"
2075673-DCA,03/31/2025,07/16/2018,Garage,"Vehicle Spaces: 870, Bicycle Spaces: 27",SP PLUS CORPORATION,,5817,JUNCTION BLVD,,ELMHURST,NY,11373,2125025490,Queens,4,404,21,4047312,4019180025,QN25,455,-73.86509784637948,40.73522868580929,"(40.73522868580929, -73.86509784637948)"
2017912-DCA,03/31/2025,02/03/2015,Garage and Parking Lot,"Vehicle Spaces: 157, Bicycle Spaces: 15",SP PLUS CORPORATION,,455,MADISON AVE,,NEW YORK,NY,10022,2125025490,Manhattan,1,105,04,1035462,1012860021,MN17,102,-73.97539336674451,40.75811393684285,"(40.75811393684285, -73.97539336674451)"
1010570-DCA,03/31/2025,05/26/1999,Garage,"Vehicle Spaces: 198, Bicycle Spaces: 19",UNION SQUARE CAR PARK LLC,GGMC,1,IRVING PL,,NEW YORK,NY,10003,2129966363,Manhattan,1,105,2,1083247,1008700501,MN21,50,-73.98871324972123,40.734072008817265,"(40.734072008817265, -73.98871324972123)"
2096602-DCA,03/31/2025,10/07/2020,Garage,"Vehicle Spaces: 328, Bicycle Spaces: 21",SP PLUS CORPORATION,,301,E 57TH ST,,NEW YORK,NY,10022,212-321-7538,Manhattan,1,106,05,1039997,1013500001,,,-73.9651703818044,40.75926409225619,"(40.75926409225619, -73.9651703818044)"
