DCA License Number,License Type,License Expiration Date,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code,License Creation Date,Industry,Detail,Community Board,Council District,BIN,BBL,NTA,Census Tract,Longitude,Latitude,Location
0932155-DCA,Business,2025-03-31,301 PARK CORP.,,301,E 64TH ST,,NEW YORK,NY,10065,2124730135,Manhattan,1,1997-03-25,Garage,"Vehicle Spaces: 84, Bicycle Spaces: 8",108,5,1044689,1014390001,MN31,118,-73.96170261902068,40.763591451944784,"(40.763591451944784, -73.96170261902068)"
1439430-DCA,Business,2025-03-31,CHAMPION PARKING 90 LLC,,60,E 90TH ST,,NEW YORK,NY,10128,2123085959,Manhattan,1,2012-08-07,Garage,"Vehicle Spaces: 268, Bicycle Spaces: 20",108,04,1046972,1015017501,MN40,15002,-73.95633632244923,40.78314855020369,"(40.78314855020369, -73.95633632244923)"
1283824-DCA,Business,2025-03-31,CHAMPION PARKING 74 LLC.,,2109,BROADWAY,,NEW YORK,NY,10023,2123085959,Manhattan,1,2008-05-01,Garage,"Vehicle Spaces: 110, Bicycle Spaces: 11",107,6,1030544,1011650503,MN14,159,-73.98194613812201,40.77976840490512,"(40.77976840490512, -73.98194613812201)"
1030045-DCA,Business,2025-03-31,"BATTERY PLACE CAR PARK, LLC",GGMC,50,BATTERY PL,,NEW YORK,NY,10280,2129966363,Manhattan,1,2000-03-29,Garage,"Vehicle Spaces: 42, Bicycle Spaces:",101,1,1085938,1000160015,MN25,31704,-74.01790411531843,40.70628322913576,"(40.70628322913576, -74.01790411531843)"
2017912-DCA,Business,2025-03-31,SP PLUS CORPORATION,,455,MADISON AVE,,NEW YORK,NY,10022,2125025490,Manhattan,1,2015-02-03,Garage and Parking Lot,"Vehicle Spaces: 157, Bicycle Spaces: 15",105,04,1035462,1012860021,MN17,102,-73.97539336674451,40.75811393684285,"(40.75811393684285, -73.97539336674451)"
1010570-DCA,Business,2025-03-31,UNION SQUARE CAR PARK LLC,GGMC,1,IRVING PL,,NEW YORK,NY,10003,2129966363,Manhattan,1,1999-05-26,Garage,"Vehicle Spaces: 198, Bicycle Spaces: 19",105,2,1083247,1008700501,MN21,50,-73.98871324972123,40.734072008817265,"(40.734072008817265, -73.98871324972123)"
2101166-DCA,Business,2025-03-31,CHAMPION PARKING YORK LLC,,1514-1520,YORK AVE,,NEW YORK,NY,10028,2123085959,Manhattan,1,2021-08-26,Garage,"Vehicle Spaces: 108, Bicycle Spaces: 11",108,05,1050869,1015770001,,,-73.9498231760505,40.77221361132007,"(40.77221361132007, -73.9498231760505)"
1413026-DCA,Business,2025-03-31,420 EAST 51ST PARKING PARTNERS LLC,,420,E 51ST ST,,NEW YORK,NY,10022,2128387565,Manhattan,1,2011-11-04,Garage,"Vehicle Spaces: 105, Bicycle Spaces: 11",106,5,1040114,1013620041,MN19,8603,-73.96494204046672,40.75417801007669,"(40.75417801007669, -73.96494204046672)"
2109270-DCA,Business,2025-03-31,PP MGMT CEJ CORP,,2917,40TH AVE,,LONG ISLAND CITY,NY,11101,718-729-7276,Queens,4,2022-10-11,Garage and Parking Lot,"Vehicle Spaces: 42, Bicycle Spaces: 0",401,26,4623074,4003990034,,,-73.93537947477927,40.75220546996098,"(40.75220546996098, -73.93537947477927)"
1376342-DCA,Business,2025-03-31,QUIK PARK EAST 73RD ST LLC,,524,E 73RD ST,,NEW YORK,NY,10021,2126869800,Manhattan,1,2013-03-04,Garage,"Vehicle Spaces: 320, Bicycle Spaces: 21",108,5,1046269,1014840035,MN31,124,-73.95181993445908,40.76690888069089,"(40.76690888069089, -73.95181993445908)"
