ObjectID,Meter Number,Status,Pay By Cell Number,Meter_Hours,Parking_Facility_Name,Facility,Borough,On_Street,Side_of_Street,From_Street,To_Street,Latitude,Longitude,X,Y,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
11750,1083076,Active,113091,2HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,West 85 Street,N,Amsterdam Avenue,Broadway,40.7875051180999,-73.9765950135923,990731.235713214,226187.112964138,POINT (-73.976595013592 40.7875051181),12421,20,4,19,12
9857,1443404,Active,106172,3HR Com Mon-Fri 0800-1800,,On Street,Manhattan,West 30 Street,N,Broadway,5 Avenue,40.7461997160805,-73.9869404709221,987868.647606388,211137.590897888,POINT (-73.986940470922 40.746199716081),11722,11,4,51,8
15368,2083108,Active,215851,2 HR Pas Mon-Sat 0900-1900,,On Street,Bronx,White Plains Road E Roadway,W,East 214 Street,East 215 Street,40.8801881926653,-73.8648196544519,1021631.59385988,259982.966632143,POINT (-73.864819654452 40.880188192665),11605,29,5,2,30
15414,2073094,Active,207527,2 HR Pas Mon-Sat 0830-1900,,On Street,Bronx,East Gunhill Road,S,Putnam Place,Reservoir Place,40.8793709288216,-73.8751329565255,1018780.0697073,259680.97182931,POINT (-73.875132956525 40.879370928822),11605,24,5,40,34
710,1074872,Active,107210,2HR Pas Mon-Sat 0800-1900,,On Street,Manhattan,East 66 Street  S Roadway,N,3 Avenue,2 Avenue,40.7657058896101,-73.9630186358349,994494.116638884,218246.217100561,POINT (-73.963018635835 40.76570588961),10090,23,4,51,11
1197,4152157,Active,428922,4HR Pas Mon-Sat 0800-2000,,On Street,Queens,Borden Avenue*PRK Area,E,Borden Avenue*N Roadway,Borden Avenue*S Roadway,40.741977164829,-73.9579941427178,995890.084647477,209601.701909304,POINT (-73.957994142718 40.741977164829),16858,53,3,33,66
8388,4103006,Active,457527,2 HR Pas Mon-Sat 0830-1900,,On Street,Queens,Beach 116 Street*W Roadway,E,Rockaway Beach Boulevard,Boardwalk,40.5790168979661,-73.8367443961223,1029599.77018072,150270.165716976,POINT (-73.836744396122 40.579016897966),20532,51,3,41,58
1090,4512447,Active,430774,2 HR Pas Mon-Fri 0730-1900,,On Street,Queens,Main Street*W Roadway,W,69 Road,Jewel Avenue,40.7303918242166,-73.8237940621526,1033086.22219731,205427.124628559,POINT (-73.823794062153 40.730391824217),14509,25,3,24,65
15363,2083101,Active,217558,2 HR Pas Mon-Sat 0900-1900,,On Street,Bronx,White Plains Rd W Roadway,E,East 214 Street,East 213 Street,40.8795897379535,-73.8652698720662,1021507.43006623,259764.734128982,POINT (-73.865269872066 40.879589737954),11605,29,5,2,30
15321,3123240,Active,314037,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,3 Avenue *E Roadway,W,43 Street,42 Street,40.6517575243549,-74.0099926549206,981477.223381385,176729.380843058,POINT (-74.009992654921 40.651757524355),13515,9,2,7,45
